,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,mixed_seed1_10percent,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9204545454545454,0.9999999999999999,0.8971552257266542,1.0,0.9662698412698412,0.9005376344086022,1.0,0.9119047619047619,0.9,0.8952380952380953,0.8333333333333334,1.0,0.8571428571428571,0.8,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428571,0.8888888888888888,0.8
1,mixed_seed20_10percent,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9553571428571428,1.0,0.9064625850340136,1.0,0.7569727891156461,0.9005376344086022,1.0,0.9119047619047619,0.9,0.8952380952380953,0.8333333333333334,1.0,0.8571428571428571,0.8,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428571,0.8888888888888888,0.8
2,mixed_seed42_10percent,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,1.0,1.0,0.9454545454545453,0.9633333333333334,0.9004251700680272,1.0,1.0,0.8952380952380953,0.9,0.9119047619047619,1.0,1.0,0.8571428571428571,0.8,0.8571428571428571,1.0,1.0,0.8,0.8888888888888888,0.8571428571428571
mean,,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9586038961038961,1.0,0.9163574520717376,0.9877777777777778,0.8745559334845048,0.9336917562724015,1.0,0.9063492063492063,0.9,0.9007936507936508,0.888888888888889,1.0,0.8571428571428571,0.8000000000000002,0.8571428571428571,0.888888888888889,1.0,0.8380952380952381,0.8888888888888888,0.8190476190476191
std,,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.039871993801347864,7.850462293418876e-17,0.025624936425578566,0.021169509870286256,0.10701975079941856,0.05742462354843047,0.0,0.00962250448649373,0.0,0.00962250448649373,0.0962250448649376,0.0,0.0,1.3597399555105182e-16,0.0,0.0962250448649376,0.0,0.03299144395369285,0.0,0.03299144395369285
