,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_sum_40percent,0.8108108108108109,0.8067567567567568,0.8153153153153152,0.8108108108108109,0.8365079365079364,1.0,0.6020451770451769,1.0,0.8374613481756339,0.7338709677419355,1.0,0.7357142857142858,1.0,0.8785714285714286,0.5,1.0,0.5714285714285714,1.0,0.8571428571428571,0.6,1.0,0.5714285714285714,1.0,0.75
1,uncertain_seed20_sum_40percent,0.7567567567567568,0.7594594594594595,0.7732732732732732,0.7567567567567568,0.6621887643946467,1.0,0.6817044067044067,1.0,0.7070568578308516,0.7338709677419355,1.0,0.7023809523809523,1.0,0.7357142857142858,0.5,1.0,0.5714285714285714,1.0,0.5714285714285714,0.6,1.0,0.5,1.0,0.5714285714285714
mean,,0.7837837837837838,0.7831081081081082,0.7942942942942942,0.7837837837837838,0.7493483504512916,1.0,0.6418747918747918,1.0,0.7722591030032427,0.7338709677419355,1.0,0.719047619047619,1.0,0.8071428571428572,0.5,1.0,0.5714285714285714,1.0,0.7142857142857142,0.6,1.0,0.5357142857142857,1.0,0.6607142857142857
std,,0.03822198817224581,0.033444239650715135,0.029728213022857813,0.03822198817224581,0.12326226869213208,0.0,0.05632758147613793,0.0,0.09220989941997122,0.0,0.0,0.023570226039551657,0.0,0.10101525445522103,0.0,0.0,0.0,0.0,0.20203050891044214,0.0,0.0,0.05050762722761051,0.0,0.12626906806902638
