,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,exp0_rep0,0.8918918918918919,0.8932432432432431,0.9099099099099098,0.8918918918918919,0.9248015873015873,1.0,0.8851593268886502,1.0,0.8233457019171304,0.8333333333333333,1.0,0.9119047619047619,1.0,0.8785714285714286,0.6666666666666666,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8,1.0,0.8571428571428571,1.0,0.75
1,exp0_rep1,0.8648648648648649,0.8664346164346165,0.8774774774774775,0.8648648648648649,0.8729166666666666,1.0,0.8675815153647666,1.0,0.8156617192331477,0.8172043010752688,1.0,0.9119047619047619,0.9,0.8785714285714286,0.6666666666666666,1.0,0.8571428571428571,0.8,0.8571428571428571,0.7272727272727273,1.0,0.8571428571428571,0.8888888888888888,0.75
2,exp0_rep2,0.8378378378378378,0.834984984984985,0.8490990990990991,0.8378378378378378,0.861574074074074,1.0,0.8745008873114462,1.0,0.8156617192331477,0.7338709677419355,1.0,0.8952380952380953,0.9,0.8785714285714286,0.5,1.0,0.8571428571428571,0.8,0.8571428571428571,0.6,1.0,0.8,0.8888888888888888,0.75
mean,,0.8648648648648649,0.8648876148876149,0.8788288288288287,0.8648648648648649,0.8864307760141094,1.0,0.8757472431882877,1.0,0.8182230467944752,0.7948028673835125,1.0,0.9063492063492063,0.9333333333333332,0.8785714285714286,0.611111111111111,1.0,0.8571428571428571,0.8666666666666667,0.8571428571428571,0.7090909090909091,1.0,0.8380952380952381,0.9259259259259259,0.75
std,,0.02702702702702703,0.02915992239635241,0.03042791959242619,0.02702702702702703,0.03371057654245656,0.0,0.008854937420507091,0.0,0.004436349471045856,0.05338125809536368,0.0,0.00962250448649373,0.05773502691896257,0.0,0.0962250448649376,0.0,0.0,0.11547005383792512,0.0,0.10123207932418225,0.0,0.03299144395369285,0.06415002990995845,0.0
