,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,mixed_seed1_30percent,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,1.0,1.0,0.9233457019171305,1.0,0.8573283858998144,0.8333333333333333,1.0,0.8404761904761905,1.0,0.861904761904762,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8,1.0,0.7692307692307693,1.0,0.7058823529411765
1,mixed_seed20_30percent,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8823232323232323,1.0,0.9092098377812663,1.0,0.8581632653061224,0.8172043010752688,1.0,0.9119047619047619,0.9,0.8785714285714286,0.6666666666666666,1.0,0.8571428571428571,0.8,0.8571428571428571,0.7272727272727273,1.0,0.8571428571428571,0.8888888888888888,0.75
2,mixed_seed42_30percent,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.9742063492063491,1.0,0.9156617192331478,1.0,0.8573283858998144,0.8333333333333333,1.0,0.8404761904761905,1.0,0.861904761904762,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8,1.0,0.7692307692307693,1.0,0.7058823529411765
mean,,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.952176527176527,1.0,0.9160724196438482,1.0,0.8576066790352505,0.8279569892473116,1.0,0.8642857142857143,0.9666666666666667,0.8674603174603175,0.6666666666666666,1.0,0.7619047619047619,0.9333333333333332,0.8571428571428571,0.7757575757575758,1.0,0.7985347985347985,0.9629629629629629,0.7205882352941178
std,,0.0,0.0,0.0,0.0,0.06185418503797631,0.0,0.007076875711598664,0.0,0.0004820178499727975,0.009312101115961698,0.0,0.041239304942116105,0.05773502691896256,0.00962250448649373,0.0,0.0,0.08247860988423221,0.11547005383792514,0.0,0.04198911048651825,0.0,0.050756067621065944,0.06415002990995845,0.02547133540542464
