,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_max_50percent,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9742063492063491,1.0,0.8989795918367345,1.0,0.7846371882086167,0.9005376344086022,1.0,0.8404761904761905,1.0,0.8952380952380953,0.8333333333333334,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,1.0,0.7692307692307693,1.0,0.8
1,uncertain_seed20_max_50percent,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9436507936507936,1.0,0.8081006086645184,1.0,0.8156617192331477,0.9005376344086022,1.0,0.8404761904761905,1.0,0.8952380952380953,0.8333333333333334,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,1.0,0.7692307692307693,1.0,0.8
2,uncertain_seed42_max_50percent,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.9409722222222221,1.0,0.9258241758241756,1.0,0.7846371882086167,0.9005376344086022,1.0,0.8571428571428572,1.0,0.9666666666666667,0.8333333333333334,1.0,0.7142857142857143,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.875
mean,,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9529431216931217,1.0,0.8776347921084762,1.0,0.794978698550127,0.9005376344086023,1.0,0.846031746031746,1.0,0.919047619047619,0.8333333333333334,1.0,0.7142857142857143,1.0,0.9047619047619048,0.8333333333333334,1.0,0.7905982905982906,1.0,0.8250000000000001
std,,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.018463134063152586,0.0,0.06169610946225196,0.0,0.017912021338494843,1.3597399555105182e-16,0.0,0.009622504486493794,0.0,0.041239304942116105,0.0,0.0,0.0,0.0,0.08247860988423228,0.0,0.0,0.03700963264036062,0.0,0.043301270189221905
