,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_sum_30percent,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.7071097883597883,1.0,0.6684945773181066,1.0,0.8168956043956044,0.8172043010752688,1.0,0.7523809523809524,1.0,0.8785714285714286,0.6666666666666666,1.0,0.5714285714285714,1.0,0.8571428571428571,0.7272727272727273,1.0,0.6153846153846154,1.0,0.75
1,uncertain_seed20_sum_30percent,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.6668690005646527,1.0,0.7843502785729677,1.0,0.8071733821733822,0.8010752688172043,1.0,0.7523809523809524,1.0,0.8071428571428572,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7142857142857143,0.6666666666666666,1.0,0.6153846153846154,1.0,0.6666666666666666
mean,,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.6869893944622205,1.0,0.7264224279455371,1.0,0.8120344932844933,0.8091397849462365,1.0,0.7523809523809524,1.0,0.8428571428571429,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7857142857142857,0.696969696969697,1.0,0.6153846153846154,1.0,0.7083333333333333
std,,0.01911099408612287,0.01911099408612287,0.01911099408612287,0.01911099408612287,0.02845453393022926,0.0,0.08192235199643509,0.0,0.006874649261535854,0.011404948083653983,0.0,0.0,0.0,0.05050762722761051,0.0,0.0,0.0,0.0,0.10101525445522103,0.042854956435548375,0.0,0.0,0.0,0.05892556509887899
