,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_misscl_50percent,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8893849206349205,1.0,0.674734893957583,1.0,0.8894712430426714,0.8172043010752688,1.0,0.8071428571428572,1.0,0.9119047619047619,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7272727272727273,1.0,0.6666666666666666,1.0,0.8571428571428571
1,uncertain_seed20_misscl_50percent,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.733430284992785,1.0,0.5619012989811308,1.0,0.7826004947433518,0.8010752688172043,1.0,0.769047619047619,1.0,0.7904761904761906,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7142857142857143,0.6666666666666666,1.0,0.6666666666666666,1.0,0.625
mean,,0.8378378378378379,0.8378378378378379,0.8378378378378379,0.8378378378378379,0.8114076028138527,1.0,0.6183180964693569,1.0,0.8360358688930116,0.8091397849462365,1.0,0.7880952380952381,1.0,0.8511904761904763,0.6666666666666666,1.0,0.6428571428571428,1.0,0.7857142857142857,0.696969696969697,1.0,0.6666666666666666,1.0,0.7410714285714286
std,,0.03822198817224581,0.03822198817224581,0.03822198817224581,0.03822198817224581,0.11027658042003127,0.0,0.0797854001535057,0.0,0.07556903083292961,0.011404948083653983,0.0,0.026937401188059013,0.0,0.08586296628693785,0.0,0.0,0.10101525445522111,0.0,0.10101525445522103,0.042854956435548375,0.0,0.0,0.0,0.16414978848973422
