,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_misscl_40percent,0.8378378378378378,0.8368550368550369,0.8391891891891892,0.8378378378378378,0.9037698412698412,1.0,0.6345924334646138,1.0,0.8036796536796535,0.8172043010752688,1.0,0.7357142857142858,1.0,0.8952380952380953,0.6666666666666666,1.0,0.5714285714285714,1.0,0.8571428571428571,0.7272727272727273,1.0,0.5714285714285714,1.0,0.8
1,uncertain_seed20_misscl_40percent,0.8108108108108109,0.8120629370629371,0.8204204204204205,0.8108108108108109,0.7573343079922027,1.0,0.7659035409035408,1.0,0.79468954248366,0.8172043010752688,1.0,0.7523809523809524,1.0,0.7904761904761906,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7142857142857143,0.7272727272727273,1.0,0.6153846153846154,1.0,0.625
mean,,0.8243243243243243,0.824458986958987,0.8298048048048048,0.8243243243243243,0.830552074631022,1.0,0.7002479871840773,1.0,0.7991845980816568,0.8172043010752688,1.0,0.7440476190476191,1.0,0.842857142857143,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7857142857142857,0.7272727272727273,1.0,0.5934065934065934,1.0,0.7125
std,,0.01911099408612287,0.017530661882847395,0.013271523670918602,0.01911099408612287,0.10354555858728651,0.0,0.09285097451518062,0.0,0.006356968590308162,0.0,0.0,0.01178511301977575,0.0,0.0740778532671621,0.0,0.0,0.0,0.0,0.10101525445522103,0.0,0.0,0.031081616755452686,0.0,0.12374368670764585
