,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_max_10percent,0.8648648648648649,0.8709400474106356,0.8927927927927929,0.8648648648648649,1.0,1.0,0.8880218754168332,1.0,0.7496860282574567,0.9166666666666667,1.0,0.8404761904761905,0.9,0.861904761904762,0.8333333333333334,1.0,0.7142857142857143,0.8,0.8571428571428571,0.9090909090909091,1.0,0.7692307692307693,0.8888888888888888,0.7058823529411765
1,uncertain_seed20_max_10percent,0.8648648648648649,0.8608108108108109,0.8896396396396395,0.8648648648648649,0.9742063492063491,1.0,0.8930533751962322,1.0,0.8894712430426714,0.75,1.0,0.8952380952380953,1.0,0.8785714285714286,0.5,1.0,0.8571428571428571,1.0,0.8571428571428571,0.6666666666666666,1.0,0.8,1.0,0.75
2,uncertain_seed42_max_10percent,0.8918918918918919,0.8879228879228881,0.8912483912483912,0.8918918918918919,1.0,1.0,0.9587585034013604,0.9633333333333334,0.91797052154195,0.9838709677419355,1.0,0.8404761904761905,0.984375,0.8404761904761905,1.0,1.0,0.7142857142857143,1.0,0.7142857142857143,0.9230769230769231,1.0,0.7692307692307693,0.9090909090909091,0.7692307692307693
mean,,0.8738738738738739,0.8732245820481115,0.8912269412269412,0.8738738738738739,0.9914021164021163,1.0,0.9132779180048086,0.9877777777777778,0.8523759309473594,0.8835125448028673,1.0,0.8587301587301588,0.9614583333333333,0.8603174603174604,0.7777777777777778,1.0,0.7619047619047619,0.9333333333333332,0.8095238095238094,0.8329448329448329,1.0,0.7794871794871795,0.9326599326599326,0.7417043740573153
std,,0.015604061329449314,0.013699653470623829,0.0015766860116635051,0.015604061329449314,0.014891971229097564,0.0,0.03946760359481309,0.021169509870286256,0.09006644383226822,0.12040890430344885,0.0,0.03161680045562238,0.05379479722364731,0.019097157802406284,0.2545875386086578,0.0,0.08247860988423221,0.11547005383792514,0.08247860988423221,0.14417081390637423,0.0,0.0177646236673731,0.05918651795032644,0.03247873949117473
