,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_max_30percent,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9742063492063491,1.0,0.9156617192331478,1.0,0.8441609977324263,0.9005376344086022,1.0,0.8404761904761905,1.0,0.8952380952380953,0.8333333333333334,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,1.0,0.7692307692307693,1.0,0.8
1,uncertain_seed20_max_30percent,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8873015873015873,1.0,0.8498132586367879,1.0,0.6328385899814472,0.9005376344086022,1.0,0.8404761904761905,1.0,0.8952380952380953,0.8333333333333334,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,1.0,0.7692307692307693,1.0,0.8
2,uncertain_seed42_max_30percent,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.9436507936507936,1.0,0.8930533751962322,1.0,0.8441609977324263,0.8172043010752688,1.0,0.8238095238095239,1.0,0.8952380952380953,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7272727272727273,1.0,0.7142857142857143,1.0,0.8
mean,,0.8828828828828829,0.8828828828828829,0.8828828828828829,0.8828828828828829,0.93505291005291,1.0,0.8861761176887226,1.0,0.7737201951487664,0.8727598566308243,1.0,0.834920634920635,1.0,0.8952380952380953,0.7777777777777778,1.0,0.7142857142857143,1.0,0.8571428571428571,0.797979797979798,1.0,0.7509157509157509,1.0,0.8000000000000002
std,,0.015604061329449314,0.015604061329449314,0.015604061329449314,0.015604061329449314,0.04408573592674736,0.0,0.033458592974690914,0.0,0.12200704900082765,0.048112522432468906,0.0,0.00962250448649373,0.0,0.0,0.09622504486493767,0.0,0.0,0.0,0.0,0.06123411945950578,0.0,0.031722542263166266,0.0,1.3597399555105182e-16
