,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_max_20percent,0.918918918918919,0.9203931203931204,0.9256756756756757,0.918918918918919,0.9204545454545454,1.0,0.6888829215896883,1.0,0.648995052566481,0.9166666666666667,1.0,0.8952380952380953,1.0,0.9119047619047619,0.8333333333333334,1.0,0.8571428571428571,1.0,0.8571428571428571,0.9090909090909091,1.0,0.8,1.0,0.8571428571428571
1,uncertain_seed20_max_20percent,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8898989898989899,1.0,0.8386054421768707,1.0,0.8326530612244898,0.9005376344086022,1.0,0.8238095238095239,1.0,0.9119047619047619,0.8333333333333334,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,1.0,0.8571428571428571
2,uncertain_seed42_max_20percent,0.918918918918919,0.916839916839917,0.9182754182754183,0.918918918918919,0.9061507936507935,1.0,0.8529066171923314,1.0,0.8573283858998144,0.9838709677419355,1.0,0.8404761904761905,1.0,0.9119047619047619,1.0,1.0,0.7142857142857143,1.0,0.8571428571428571,0.9230769230769231,1.0,0.7692307692307693,1.0,0.8571428571428571
mean,,0.9099099099099099,0.9097083097083097,0.911947661947662,0.9099099099099099,0.9055014430014431,1.0,0.7934649936529635,1.0,0.7796588332302617,0.9336917562724015,1.0,0.8531746031746033,1.0,0.9119047619047619,0.888888888888889,1.0,0.7619047619047619,1.0,0.8571428571428571,0.8885003885003885,1.0,0.7611721611721611,1.0,0.8571428571428571
std,,0.015604061329449378,0.015531415638295918,0.017758558128264747,0.015604061329449378,0.015288124019202603,0.0,0.09085256325218219,0.0,0.1138287555715717,0.044198431738847715,0.0,0.03736907100632873,0.0,0.0,0.0962250448649376,0.0,0.08247860988423221,0.0,0.0,0.04828514397470432,0.0,0.04342166011058593,0.0,0.0
