,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_sum_10percent,0.8648648648648649,0.8638820638820639,0.8662162162162161,0.8648648648648649,0.8523989898989899,1.0,0.8566729323308269,1.0,0.7399814471243042,0.8172043010752688,1.0,0.8238095238095239,1.0,0.8952380952380953,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7272727272727273,1.0,0.7142857142857143,1.0,0.8
1,uncertain_seed20_sum_10percent,0.8648648648648649,0.8638820638820639,0.8662162162162161,0.8648648648648649,0.8618055555555555,1.0,0.9280045351473922,1.0,0.6774943310657596,0.8172043010752688,1.0,0.8238095238095239,1.0,0.8952380952380953,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7272727272727273,1.0,0.7142857142857143,1.0,0.8
mean,,0.8648648648648649,0.8638820638820639,0.8662162162162161,0.8648648648648649,0.8571022727272727,1.0,0.8923387337391095,1.0,0.708737889095032,0.8172043010752688,1.0,0.8238095238095239,1.0,0.8952380952380953,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7272727272727273,1.0,0.7142857142857143,1.0,0.8
std,,0.0,0.0,0.0,0.0,0.006651446363434034,0.0,0.0504390600644988,0.0,0.04418506350178771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
