,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_misscl_30percent,0.8648648648648649,0.8638820638820639,0.8662162162162161,0.8648648648648649,0.9037698412698412,1.0,0.8166928309785451,1.0,0.8650410164065625,0.8172043010752688,1.0,0.8238095238095239,1.0,0.8952380952380953,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7272727272727273,1.0,0.7142857142857143,1.0,0.8
1,uncertain_seed20_misscl_30percent,0.8108108108108109,0.8011261261261261,0.8145645645645646,0.8108108108108109,0.7546626984126984,1.0,0.6520241429905294,1.0,0.850876504447933,0.6505376344086021,1.0,0.7904761904761906,1.0,0.8952380952380953,0.3333333333333333,1.0,0.7142857142857143,1.0,0.8571428571428571,0.4444444444444444,1.0,0.625,1.0,0.8
2,uncertain_seed42_misscl_30percent,0.8648648648648649,0.8662508662508662,0.875,0.8648648648648649,0.9296296296296296,1.0,0.7661464585834332,1.0,0.8912314925970388,0.9166666666666667,1.0,0.8071428571428572,0.984375,0.8404761904761905,0.8333333333333334,1.0,0.7142857142857143,1.0,0.7142857142857143,0.9090909090909091,1.0,0.6666666666666666,0.9090909090909091,0.7692307692307693
mean,,0.846846846846847,0.8437530187530187,0.851926926926927,0.846846846846847,0.862687389770723,1.0,0.7449544775175024,1.0,0.8690496711505115,0.7948028673835127,1.0,0.8071428571428573,0.9947916666666666,0.876984126984127,0.6111111111111112,1.0,0.7142857142857143,1.0,0.8095238095238094,0.6936026936026937,1.0,0.6686507936507936,0.9696969696969697,0.7897435897435897
std,,0.03120812265889869,0.036934967001935805,0.03265345778569885,0.03120812265889869,0.09444142428378886,0.0,0.08435501909814075,0.0,0.020473965218558838,0.13447131153609723,0.0,0.016666666666666663,0.009021097956087904,0.03161680045562238,0.2545875386086578,0.0,0.0,0.0,0.08247860988423221,0.23414597509378735,0.0,0.04467591368729248,0.05248638810814781,0.0177646236673731
