,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_max_40percent,0.8108108108108109,0.8101351351351351,0.8213213213213213,0.8108108108108109,0.840542328042328,1.0,0.7885384456813027,1.0,0.8609848484848484,0.7338709677419355,1.0,0.7904761904761906,1.0,0.8238095238095239,0.5,1.0,0.7142857142857143,1.0,0.7142857142857143,0.6,1.0,0.625,1.0,0.7142857142857143
1,uncertain_seed20_max_40percent,0.8378378378378378,0.8365508365508365,0.8472972972972973,0.8378378378378378,0.8434563021519543,1.0,0.6902894491129785,1.0,0.7754251700680272,0.8682795698924731,1.0,0.769047619047619,1.0,0.8238095238095239,0.8333333333333334,1.0,0.5714285714285714,1.0,0.7142857142857143,0.7142857142857143,1.0,0.6666666666666666,1.0,0.7142857142857143
2,uncertain_seed42_max_40percent,0.8918918918918919,0.8918918918918919,0.8963963963963966,0.8918918918918919,1.0,1.0,0.8750750300120047,1.0,0.8743197278911563,0.9166666666666667,1.0,0.8238095238095239,0.984375,0.9119047619047619,0.8333333333333334,1.0,0.7142857142857143,1.0,0.8571428571428571,0.9090909090909091,1.0,0.7142857142857143,0.9090909090909091,0.8571428571428571
mean,,0.8468468468468467,0.8461926211926212,0.855005005005005,0.8468468468468467,0.8946662100647608,1.0,0.784634308268762,1.0,0.836909915481344,0.839605734767025,1.0,0.7944444444444444,0.9947916666666666,0.8531746031746033,0.7222222222222223,1.0,0.6666666666666666,1.0,0.7619047619047619,0.7411255411255411,1.0,0.6686507936507936,0.9696969696969697,0.7619047619047619
std,,0.04128446572032286,0.04172247388584226,0.03812641201270636,0.04128446572032286,0.09123337266520799,0.0,0.09245463451741961,0.0,0.05366316419202722,0.09471118467185531,0.0,0.02759577563605357,0.009021097956087904,0.050861809428609836,0.1924500897298753,0.0,0.08247860988423228,0.0,0.08247860988423221,0.15628365157384527,0.0,0.04467591368729248,0.05248638810814781,0.08247860988423221
