,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_misscl_10percent,0.8648648648648649,0.8662508662508662,0.8704954954954955,0.8648648648648649,0.6630952380952381,1.0,0.871001221001221,1.0,0.5245890022675737,0.9005376344086022,1.0,0.8404761904761905,1.0,0.8071428571428572,0.8333333333333334,1.0,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,1.0,0.7692307692307693,1.0,0.6666666666666666
1,uncertain_seed20_misscl_10percent,0.7837837837837838,0.7411083811083812,0.7498267498267499,0.7837837837837838,0.6442460317460318,1.0,0.8363160648874934,1.0,0.656314894378804,0.9516129032258064,0.98,0.8238095238095239,0.984375,0.5547619047619047,1.0,1.0,0.7142857142857143,1.0,0.14285714285714285,0.8,0.96,0.7142857142857143,0.9090909090909091,0.2222222222222222
2,uncertain_seed42_misscl_10percent,0.8378378378378378,0.836128436128436,0.8513513513513513,0.8378378378378378,0.9037698412698412,1.0,0.9441609977324261,1.0,0.8308286951144093,0.9516129032258064,1.0,0.8404761904761905,0.9,0.7523809523809524,1.0,1.0,0.7142857142857143,0.8,0.5714285714285714,0.8,1.0,0.7692307692307693,0.8888888888888888,0.6153846153846154
mean,,0.8288288288288288,0.8144958944958945,0.8238911988911989,0.8288288288288288,0.737037037037037,1.0,0.8838260945403803,1.0,0.6705775305869289,0.9345878136200717,0.9933333333333333,0.834920634920635,0.9614583333333333,0.7047619047619048,0.9444444444444445,1.0,0.7142857142857143,0.9333333333333332,0.4761904761904762,0.8111111111111112,0.9866666666666667,0.7509157509157509,0.9326599326599326,0.5014245014245015
std,,0.04128446572032291,0.06531566075622297,0.06485199707925898,0.04128446572032291,0.1447020875816921,0.0,0.05505443143883677,0.0,0.15361723361145077,0.029488320200545308,0.011547005383792525,0.00962250448649373,0.05379479722364731,0.1327581129471491,0.0962250448649376,0.0,0.0,0.11547005383792512,0.2973808570665904,0.01924500897298752,0.023094010767585053,0.031722542263166266,0.05918651795032644,0.24315200334304124
