,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_sum_20percent,0.8378378378378378,0.8386568386568387,0.8425675675675676,0.8378378378378378,0.9436507936507936,1.0,0.7281037414965985,1.0,0.7984013605442175,0.8172043010752688,1.0,0.8071428571428572,1.0,0.8238095238095239,0.6666666666666666,1.0,0.7142857142857143,1.0,0.7142857142857143,0.7272727272727273,1.0,0.6666666666666666,1.0,0.7142857142857143
1,uncertain_seed20_sum_20percent,0.8648648648648649,0.8627858627858629,0.8635778635778635,0.8648648648648649,0.9037698412698412,1.0,0.6898709483793517,1.0,0.7186456400742114,0.8844086021505377,1.0,0.7523809523809524,1.0,0.9119047619047619,0.8333333333333334,1.0,0.5714285714285714,1.0,0.8571428571428571,0.7692307692307693,1.0,0.6153846153846154,1.0,0.8571428571428571
mean,,0.8513513513513513,0.8507213507213508,0.8530727155727156,0.8513513513513513,0.9237103174603174,1.0,0.7089873449379751,1.0,0.7585235003092144,0.8508064516129032,1.0,0.7797619047619048,1.0,0.8678571428571429,0.75,1.0,0.6428571428571428,1.0,0.7857142857142857,0.7482517482517483,1.0,0.641025641025641,1.0,0.7857142857142857
std,,0.019110994086122948,0.017061796585046824,0.014856522783616906,0.019110994086122948,0.028200091868749274,0.0,0.02703466727690758,0.0,0.05639581078276007,0.047520617015225086,0.0,0.03872251420783476,0.0,0.062292740247386263,0.11785113019775798,0.0,0.10101525445522111,0.0,0.10101525445522103,0.02966881599384117,0.0,0.03626188621469469,0.0,0.10101525445522103
