,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,mixed_seed1_20percent,0.918918918918919,0.9184569184569185,0.9227799227799227,0.918918918918919,1.0,1.0,0.8948554421768706,1.0,0.8441609977324263,0.9838709677419355,1.0,0.9119047619047619,0.9,0.9119047619047619,1.0,1.0,0.8571428571428571,0.8,0.8571428571428571,0.9230769230769231,1.0,0.8571428571428571,0.8888888888888888,0.8571428571428571
1,mixed_seed20_20percent,0.8918918918918919,0.8923827673827673,0.9116259116259116,0.8918918918918919,0.9553571428571428,1.0,0.8718654128317993,1.0,0.7846371882086167,0.8844086021505377,1.0,0.8571428571428572,0.9,0.9666666666666667,0.8333333333333334,1.0,0.7142857142857143,0.8,1.0,0.7692307692307693,1.0,0.8333333333333334,0.8888888888888888,0.875
2,mixed_seed42_20percent,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459,1.0,1.0,0.9133403361344536,1.0,0.8587585034013605,1.0,1.0,0.9119047619047619,1.0,0.9119047619047619,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571
mean,,0.918918918918919,0.9189285439285438,0.9267839267839267,0.918918918918919,0.9851190476190476,1.0,0.8933537303810413,1.0,0.8291855631141344,0.9560931899641577,1.0,0.8936507936507936,0.9333333333333332,0.9301587301587301,0.9444444444444445,1.0,0.8095238095238094,0.8666666666666667,0.9047619047619048,0.8974358974358975,1.0,0.8492063492063492,0.9259259259259259,0.8630952380952381
std,,0.02702702702702703,0.026784703608344326,0.017506862225428767,0.02702702702702703,0.025774565588822615,0.0,0.020778201786453156,0.0,0.03926436135964224,0.06260228843981559,0.0,0.03161680045562231,0.05773502691896257,0.03161680045562238,0.0962250448649376,0.0,0.08247860988423221,0.11547005383792514,0.08247860988423228,0.11750194089630357,0.0,0.013746434980705326,0.06415002990995845,0.01030982623552906
