,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
0,uncertain_seed1_misscl_20percent,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8243055555555555,1.0,0.8354553942789236,1.0,0.7399814471243042,0.8010752688172043,1.0,0.8238095238095239,1.0,0.8238095238095239,0.6666666666666666,1.0,0.7142857142857143,1.0,0.7142857142857143,0.6666666666666666,1.0,0.7142857142857143,1.0,0.7142857142857143
1,uncertain_seed20_misscl_20percent,0.8378378378378378,0.8327600327600327,0.838963963963964,0.8378378378378378,0.9061507936507935,1.0,0.8609848484848484,1.0,0.9441609977324261,0.7338709677419355,1.0,0.8071428571428572,0.984375,0.9119047619047619,0.5,1.0,0.7142857142857143,1.0,0.8571428571428571,0.6,1.0,0.6666666666666666,0.9090909090909091,0.8571428571428571
2,uncertain_seed42_misscl_20percent,0.918918918918919,0.916839916839917,0.9182754182754183,0.918918918918919,1.0,1.0,0.9156617192331478,1.0,0.878169449598021,0.9838709677419355,1.0,0.8404761904761905,1.0,0.9119047619047619,1.0,1.0,0.7142857142857143,1.0,0.8571428571428571,0.9230769230769231,1.0,0.7692307692307693,1.0,0.8571428571428571
mean,,0.8648648648648649,0.8624792624792624,0.8650257400257401,0.8648648648648649,0.9101521164021164,1.0,0.8707006539989731,1.0,0.8541039648182505,0.839605734767025,1.0,0.8238095238095239,0.9947916666666666,0.8825396825396825,0.7222222222222222,1.0,0.7142857142857143,1.0,0.8095238095238094,0.72991452991453,1.0,0.7167277167277167,0.9696969696969697,0.8095238095238094
std,,0.04681218398834807,0.047146119490271414,0.046119011430034766,0.04681218398834807,0.08791554123123334,0.0,0.0409763504750835,0.0,0.10419540723994354,0.1293771525607699,0.0,0.016666666666666663,0.009021097956087904,0.050861809428609836,0.2545875386086578,0.0,0.0,0.0,0.08247860988423221,0.17057225363545603,0.0,0.05132563994379418,0.05248638810814781,0.08247860988423221
